bonjour | bonjour ! je suis votre assistant virtuel pour le reglement academique du mastere de l'universite du burundi. comment puis-je vous aider aujourd'hui ? | bonjour salutation assistant aide | salutations | n/a
quels documents sont necessaires pour l'inscription ? | le dossier d'inscription comprend : une lettre de demande, les copies certifiees du diplome d'etat, les copies certifiees des diplomes de baccalaureat/licence, les bulletins des trois dernieres annees d'etudes universitaires, un extrait d'acte de naissance, une attestation d'identite complete, un extrait du casier judiciaire, une attestation de bonne conduite, un certificat d'aptitude physique, un cv, trois photos passeport, et un recu de paiement des frais d'inscription. | inscription documents diplome d'etat baccalaureat licence bulletins acte de naissance casier judiciaire certificat medical cv photos frais | inscription | article 17, chapitre ii - inscriptions
peut-on s'inscrire tardivement ? | les demandes d'inscription tardive sont adressees par ecrit au directeur des services academiques. aucune nouvelle demande ne peut etre recue un mois apres le debut des cours. en cas de refus, un recours peut etre adresse au recteur. | inscription tardive directeur des services academiques un mois debut des cours recours recteur | inscription | article 18, chapitre ii - inscriptions
comment obtient-on la qualite d'etudiant ? | la qualite d'etudiant s'obtient par la prise d'une inscription definitive au role et se materialise par la delivrance d'une carte d'etudiant et l'assistance obligatoire aux cours, travaux pratiques, travaux diriges, travaux de terrain et stages. l'inscription est personnelle et valable pour un semestre. | qualite d'etudiant inscription definitive carte d'etudiant assistance obligatoire cours travaux pratiques semestre | inscription | article 19, chapitre ii - inscriptions
peut-on annuler son inscription ? | passe le premier mois apres le debut des cours, aucune demande d'annulation d'inscription ne peut etre acceptee sauf en cas d'inaptitude physique temporaire ou autre motif valable. l'annulation dans le premier mois permet que le semestre ne soit pas comptabilise dans le cursus. les frais d'inscription ne sont pas restitues en cas d'annulation volontaire. | annulation inscription premier mois inaptitude physique motif valable cursus frais d'inscription | inscription | articles 20-21, chapitre ii - inscriptions
comment sont organises les enseignements ? | pour chaque annee academique, les enseignements sont organises en 2 semestres de 14 a 19 semaines chacun. les activites comprennent : cours magistraux, travaux pratiques, travaux diriges, travaux de recherche, travaux de terrain, travaux personnels, seminaires, stages, evaluations, deliberations et proclamation des resultats. | enseignements 2 semestres 14-19 semaines cours magistraux travaux pratiques travaux diriges seminaires stages evaluations | organisation_enseignements | article 24, chapitre iii - organisation des enseignements
combien de credits faut-il pour le mastere ? | le cycle de mastere comprend 120 credits repartis sur deux annees academiques, soit quatre semestres, y compris le memoire. l'annee academique compte au total 60 credits a raison de 30 credits par semestre. | 120 credits deux annees quatre semestres memoire 60 credits 30 credits par semestre | credits | article 25, chapitre iii - organisation des enseignements
qu'est-ce qu'un conseiller pedagogique ? | chaque classe est dotee d'un conseiller pedagogique dont le role est l'ecoute et la guidance pedagogiques tout au long de l'annee academique. le conseiller pedagogique est nomme par le doyen sur proposition du conseil scientifique. | conseiller pedagogique ecoute guidance pedagogique annee academique doyen conseil scientifique | organisation_enseignements | article 28, chapitre iii - organisation des enseignements
qu'est-ce qu'un stage ? | le stage est un apprentissage ou une demonstration de l'aptitude a appliquer les connaissances acquises dans le cadre d'un enseignement theorique ou pratique. il peut etre organise parallelement aux enseignements ou separement. les stages prevus doivent obligatoirement etre effectues au cours du semestre ou de la meme annee. | stage apprentissage aptitude connaissances enseignement theorique enseignement pratique semestre | stages | article 38, chapitre iii - stages
comment sont evalues les stages ? | les stagiaires sont suivis et evalues par les enseignants intervenant dans la filiere concernee avec obligation pour les facultes et instituts de determiner par ecrit les criteres d'evaluation. le suivi peut etre assure conjointement par le corps enseignant et des personnes ressources d'autres institutions partenaires. | evaluation stages enseignants filiere criteres d'evaluation corps enseignant institutions partenaires | stages | article 40, chapitre iii - stages
quelles sont les conditions pour passer les evaluations ? | l'autorisation de se presenter aux evaluations est subordonnee a l'inscription au role, a la presence reguliere aux cours magistraux, aux travaux pratiques, aux travaux diriges, aux travaux de recherche, aux travaux de terrain, aux seminaires et stages. un ecue est considere comme non suivi si l'etudiant totalise un tiers d'absences injustifiees du volume horaire presentiel. | evaluations inscription au role presence reguliere cours magistraux travaux pratiques absences injustifiees volume horaire | evaluations | article 41, chapitre iii - evaluations
que se passe-t-il en cas d'absence a un examen ? | toute absence a une evaluation doit etre justifiee par ecrit par l'etudiant aupres du president du conseil scientifique avec copie au doyen et a l'enseignant concerne. en cas de motif legitime approuve par le conseil scientifique, l'etudiant a droit a une evaluation de rattrapage. | absence examen justification ecrite president du conseil scientifique doyen motif legitime evaluation de rattrapage | evaluations | article 44, chapitre iii - evaluations
comment se deroulent les evaluations ? | les evaluations portent sur les cours magistraux et les travaux effectues (travaux pratiques, travaux de terrain, travaux diriges, travaux de recherche et stages). les etudiants passent les evaluations par ecrit et/ou oralement. les evaluations sont notees sur un maximum de 20. il doit etre organise des evaluations continues et leurs notes sont comptabilisees dans les resultats du semestre. | evaluations cours magistraux travaux ecrit oral note sur 20 evaluations continues resultats semestre | evaluations | articles 47, 53, 55, chapitre iii - evaluations
qu'est-ce que la deuxieme session ? | les evaluations de la 2eme session sont organisees apres la proclamation des resultats de la premiere session. trente (30) jours calendriers sont reserves aux evaluations de la 2eme session apres l'analyse des recours. les travaux pratiques, travaux diriges et travaux de terrain ne sont pas repris en deuxieme session. | deuxieme session premiere session 30 jours recours travaux pratiques travaux diriges travaux de terrain | evaluations | article 54, chapitre iii - evaluations
comment sont constitues les jurys d'examens ? | sur proposition du doyen de faculte/institut, le conseil de faculte/institut constitue les jurys pour chaque annee academique. les jurys sont composes de membres du personnel enseignant qui participent effectivement a la formation des etudiants. la decision est rendue publique des le debut des enseignements du 1er semestre. | jurys d'examens doyen conseil de faculte personnel enseignant formation etudiants 1er semestre | jury | articles 59-60, chapitre iii - jurys d'examens
quelles sont les fonctions des jurys d'examens ? | les jurys d'examens ont pour fonction de veiller a la bonne marche des evaluations, au secret des deliberations ainsi qu'a la publication des resultats, deliberer sur l'ensemble des resultats de chaque candidat et statuer sur la mention a attribuer ainsi que la validation des credits, et statuer sur les eventuels recours. | jurys d'examens evaluations secret deliberations publication resultats mention validation credits recours | jury | article 61, chapitre iii - jurys d'examens
qu'est-ce que la deliberation ? | la deliberation consiste en une appreciation collegiale par le jury de l'ensemble des resultats obtenus par chaque etudiant. a la fin du premier semestre, les jurys deliberent et valident les credits reussis. apres les examens du second semestre, ils prennent des decisions finales sur la base des ue validees et precisent les mentions attribuees. | deliberation appreciation collegiale jury resultats premier semestre credits ue validees mentions | deliberation | article 62, chapitre iv - deliberation
comment fonctionne un jury de deliberation ? | un jury ne peut sieger valablement que s'il reunit 2/3 des enseignants a temps plein intervenant dans la classe concernee. le jury delibere a huis clos et statue a la majorite absolue des membres presents. en cas de parite des voix, la proposition favorable au candidat est adoptee. les votes sont secrets. | jury deliberation 2/3 enseignants temps plein huis clos majorite absolue parite votes secrets | deliberation | articles 65-67, chapitre iv - deliberation
quand une unite d'enseignement est-elle reussie ? | a l'exception du memoire, une unite d'enseignement est reussie quand la moyenne ponderee des notes dans les ecue qui composent l'unite est egale a au moins 10/20, sans qu'aucune note d'un ecue ne soit inferieure a 7/20. un ecue avec une note inferieure a 7/20 en 1ere session est repris en 2eme session. | unite d'enseignement reussie moyenne ponderee 10/20 ecue 7/20 2eme session | reussite | article 70, chapitre iv - deliberation
peut-on ameliorer ses notes en deuxieme session ? | oui, l'etudiant ayant reussi en premiere session avec une moyenne d'au moins 67,5% peut demander par ecrit au president du conseil scientifique de passer la deuxieme session en vue d'une amelioration dans les cours de son choix ou il a obtenu une note inferieure a 14/20. dans ce cas, c'est la meilleure note qui sera consideree. | ameliorer notes deuxieme session 67,5% president conseil scientifique 14/20 meilleure note | reussite | article 71, chapitre iv - deliberation
quelles sont les conditions de reussite en 2eme session ? | a l'issue de la 2eme session, les etudiants reussissent aux conditions cumulatives suivantes : avoir obtenu une note globale de 50% pour toutes les ue de l'annee, avoir obtenu au moins 10/20 dans chaque ue et n'avoir obtenu aucune note inferieure a 7/20 dans un ecue. les etudiants n'ayant pas plus de 2 ue non validees peuvent etre inscrits dans l'annee suivante. | 2eme session 50% 10/20 7/20 2 ue non validees annee suivante | reussite | article 72, chapitre iv - deliberation
que se passe-t-il en cas d'echec ? | un etudiant qui obtient une note globale inferieure a 50% en 2eme session est en situation d'echec. s'il a obtenu une note globale superieure ou egale a 45%, il peut reprendre l'annee ou changer de filiere apres concours d'admission. le redoublement n'est autorise qu'une seule fois par annee d'etudes. | echec 50% 45% reprendre l'annee changer de filiere concours d'admission redoublement une seule fois | echec | article 73, chapitre iv - deliberation
quand un etudiant est-il exclu definitivement ? | a l'issue de la deuxieme session, l'etudiant ayant obtenu une note globale inferieure a 45% est exclu definitivement du mastere concerne. | exclu definitivement deuxieme session 45% mastere | exclusion | article 74, chapitre iv - deliberation
quelles sont les mentions possibles ? | en situation de reussite, les mentions sont : la plus grande distinction (au moins 90% sans note inferieure a 10/20), grande distinction (au moins 80% sans note inferieure a 10/20), distinction (au moins 70% sans note inferieure a 10/20), satisfaction (au moins 60%), passable (au moins 50%). en situation d'echec, la mention est 'insuffisant'. | mentions plus grande distinction 90% grande distinction 80% distinction 70% satisfaction 60% passable 50% insuffisant | mentions | article 79, chapitre iv - deliberation
comment sont proclames les resultats ? | la proclamation des resultats se fait par le secretaire du jury par voie d'affichage. toute erreur constatee apres la proclamation doit etre signifiee a l'etudiant concerne dans les 5 jours ouvrables. au-dela de ce delai, les resultats sont definitivement confirmes. | proclamation resultats secretaire du jury affichage erreur 5 jours ouvrables definitivement confirmes | resultats | article 81, chapitre iv - proclamation des resultats
qu'est-ce que le travail de fin d'etudes ? | par travail de fin d'etudes, on entend le projet de fin d'etude appele 'memoire'. l'obtention du diplome de mastere est subordonnee a la redaction, presentation et defense d'un memoire original dont les normes de fond et de forme sont determinees par le conseil scientifique. | travail de fin d'etudes memoire diplome de mastere redaction presentation defense memoire original conseil scientifique | memoire | articles 84-85, chapitre v - travaux de fin d'etudes
comment choisir le sujet de memoire ? | les etudiants doivent avoir introduit leurs sujets de memoire, en collaboration avec leurs directeurs, un mois avant la fin du deuxieme semestre de la premiere annee de mastere. les professeurs proposent chaque annee des sujets de recherche parmi lesquels les etudiants peuvent choisir. les sujets doivent etre approuves par le conseil scientifique. | sujet de memoire directeurs un mois deuxieme semestre premiere annee professeurs sujets de recherche conseil scientifique | memoire | articles 86-87, chapitre v - choix du sujet
qui peut diriger un memoire de mastere ? | la direction d'un memoire de mastere est assuree par un professeur qui a le grade de docteur. elle est assuree par un ou deux professeur(s) a temps plein. a titre exceptionnel, le conseil scientifique peut autoriser la direction par une personne etrangere a l'universite en collaboration avec un codirecteur du corps enseignant a temps plein. | direction memoire professeur grade de docteur temps plein personne etrangere codirecteur corps enseignant | memoire | articles 88-89, chapitre v - direction des travaux
quand doit-on deposer le memoire ? | l'etudiant depose son memoire en autant d'exemplaires qu'il y a de membres du jury au secretariat de la faculte ou de l'institut 20 jours au moins avant la date de la soutenance. la reception est subordonnee a la presentation d'une autorisation de depot signee par son directeur. | deposer memoire exemplaires membres du jury secretariat 20 jours soutenance autorisation de depot directeur | memoire | article 94, chapitre v - direction des travaux
quand a lieu la soutenance du memoire ? | la soutenance du memoire doit etre faite avant la fin du second semestre de la deuxieme annee du mastere. la soutenance doit avoir lieu dans les trente jours suivant la date de depot. la date, l'heure et le lieu ainsi que la composition du jury doivent etre rendus publics huit jours au moins avant la soutenance. | soutenance memoire second semestre deuxieme annee trente jours depot date heure lieu composition jury huit jours | soutenance | articles 95, 97, chapitre v - soutenance
comment est compose le jury de soutenance ? | les jurys de soutenance des memoires sont designes par le conseil scientifique. il est compose d'au moins trois membres ou quatre dans le cas ou le memoire est dirige par un directeur et un co-directeur. deux membres au moins doivent faire partie du corps enseignant a temps plein. la presidence et le secretariat ne peuvent etre confies ni au directeur ni au co-directeur. | jury de soutenance conseil scientifique trois membres quatre membres directeur co-directeur corps enseignant temps plein presidence secretariat | soutenance | article 96, chapitre v - soutenance
comment se deroule la soutenance ? | la soutenance des memoires se fait en seance publique. des personnes ne faisant pas partie du jury peuvent poser des questions a l'etudiant sur l'autorisation du president du jury, a condition qu'elles aient un grade egal ou superieur a celui auquel pretend le candidat. | soutenance seance publique questions president du jury grade egal grade superieur candidat | soutenance | article 98, chapitre v - soutenance
quelle note faut-il pour reussir le memoire ? | apres la soutenance du memoire, le jury delibere et declare le memoire recu ou ajourne. le memoire est juge recevable si le candidat a obtenu une note d'au moins 12/20. un delai d'un mois est accorde au candidat pour effectuer les corrections recommandees par le jury. | note memoire jury memoire recu ajourne 12/20 un mois corrections jury | soutenance | article 100, chapitre v - soutenance
que faut-il faire pour le mastere de recherche ? | dans un parcours de formation conduisant au diplome de mastere de recherche, avant la defense de son travail de fin d'etudes, le candidat doit avoir soumis au moins un article a la publication dans une revue indexee. | mastere de recherche defense travail de fin d'etudes article publication revue indexee | memoire | article 93, chapitre v - direction des travaux
comment obtient-on le diplome de mastere ? | le grade de 'mastere' est decerne au candidat qui a reussi toutes les epreuves du cycle de mastere. la mention attribuee aux etudiants en fin du cycle est determinee sur la base de la moyenne des resultats obtenus pendant toute la duree du cycle. | diplome de mastere grade epreuves cycle de mastere mention moyenne resultats duree du cycle | diplome | articles 105-106, chapitre v - diplomes
que contient le supplement au diplome ? | chaque diplome delivre par l'universite du burundi est accompagne d'une annexe descriptive, appelee 'supplement au diplome', qui precise : les coordonnees civiles de l'etudiant, les coordonnees academiques, les connaissances et competences acquises pendant le parcours, les bulletins de transcription des notes obtenues durant tout le parcours. | supplement au diplome annexe descriptive coordonnees civiles coordonnees academiques connaissances competences bulletins transcription notes | diplome | article 109, chapitre v - diplomes
quelles sont les interdictions pour les etudiants ? | il est particulierement interdit aux etudiants de : perturber l'ordre et la tranquillite des campus et residences universitaires, s'adonner a des actes de violences sous quelque forme que ce soit, s'adonner a tout acte qui perturbe le deroulement normal des activites academiques et administratives, s'adonner a des actes de degradation ou de destruction du patrimoine de l'universite, commettre toute autre infraction prevue par la loi penale. | interdictions perturber l'ordre tranquillite campus residences violences activites academiques degradation destruction patrimoine loi penale | discipline | article 111, chapitre vi - regime disciplinaire
quelles sont les sanctions academiques ? | les sanctions academiques sont : le refus de l'inscription a une session d'examens ou l'annulation d'une telle inscription, l'exclusion de l'universite pendant une ou plusieurs annees academiques, l'exclusion definitive de l'universite. les sanctions du point 1 sont prises par le recteur, celles des points 2 et 3 par le ministre sur proposition du conseil d'administration. | sanctions academiques refus inscription annulation inscription exclusion temporaire exclusion definitive recteur ministre conseil d'administration | discipline | article 112, chapitre vi - regime disciplinaire
que se passe-t-il en cas de fraude aux examens ? | la fraude est sanctionnee par l'exclusion definitive de l'universite pour l'etudiant surpris en flagrant delit. les complices eventuels du fraudeur subissent la meme sanction. les delits avec indices graves constates pendant la correction et confirmes par une commission ad hoc sont soumis a la meme reglementation. | fraude exclusion definitive flagrant delit complices indices graves correction commission ad hoc | fraude | article 116, chapitre vi - fraude aux examens
comment est sanctionne le plagiat ? | un etudiant coupable de plagiat est sanctionne conformement a l'exclusion definitive. au cas ou le plagiat est constate apres la defense d'un travail ou apres la delivrance d'un diplome ou d'un certificat, les effets legaux de ces actes sont annules par l'autorite competente sur proposition du conseil scientifique. | plagiat exclusion definitive defense diplome certificat effets legaux annules autorite competente conseil scientifique | plagiat | article 118, chapitre vi - plagiat
qu'est-ce que l'universite du burundi ? | l'universite du burundi est l'universite publique principale du burundi, situee a bujumbura. elle est ouverte a toute personne remplissant les conditions d'admission prevues dans le reglement academique. | universite du burundi universite publique bujumbura conditions d'admission reglement academique | questions_generales | article 2, chapitre i - categories d'etudiants
combien d'annees dure le mastere ? | la duree du cursus academique pour un etudiant regulier est de 2 ans. le cycle de mastere comprend 120 credits repartis sur deux annees academiques, soit quatre semestres. | 2 ans cursus academique etudiant regulier 120 credits deux annees quatre semestres | questions_generales | articles 25, 31, chapitre iii - organisation des enseignements
quels sont les types de mastere ? | il existe deux types principaux de mastere : le mastere de recherche qui prepare aux activites de recherche et est organise au sein d'une ecole doctorale, et le mastere professionnel qui prepare a l'exercice de responsabilites professionnelles. il existe aussi le mastere complementaire de 60 credits minimum. | mastere de recherche mastere professionnel mastere complementaire activites de recherche ecole doctorale responsabilites professionnelles 60 credits | questions_generales | section 1, chapitre i - definitions
qui peut s'inscrire au mastere ? | peuvent s'inscrire au concours d'admission en mastere les candidats detenteurs d'un diplome de baccalaureat, de licence ou d'ingenieur delivre en republique du burundi ou d'un diplome juge equivalent. les candidats etrangers peuvent aussi etre admis dans les limites des places disponibles. | inscription mastere concours d'admission baccalaureat licence ingenieur republique du burundi diplome equivalent candidats etrangers places disponibles | questions_generales | articles 7-8, chapitre ii - admission
comment puis-je vous aider ? | je peux vous aider avec toutes les questions concernant le reglement academique du mastere de l'universite du burundi : admission, inscription, organisation des cours, evaluations, memoire, diplome, discipline, etc. n'hesitez pas a me poser vos questions specifiques ! | aide reglement academique mastere admission inscription cours evaluations memoire diplome discipline | aide | n/a
que pouvez-vous me dire ? | je peux vous informer sur tous les aspects du reglement academique du mastere a l'ub : les definitions importantes, les procedures d'admission, l'organisation des etudes, les evaluations, les travaux de fin d'etudes, les mentions et diplomes, ainsi que le regime disciplinaire. | informer reglement academique mastere ub definitions admission etudes evaluations travaux de fin d'etudes mentions diplomes regime disciplinaire | aide | n/a
combien coute l'inscription au mastere ? | les frais d'inscription et de scolarite ainsi que leurs modalites de paiement sont fixes par le conseil d'administration de l'universite du burundi apres avis du conseil rectoral et rendus publics par voie d'affichage avant l'ouverture des inscriptions au concours d'entree. | frais d'inscription scolarite modalites de paiement conseil d'administration conseil rectoral affichage concours d'entree | questions_specifiques | article 22, chapitre ii - inscriptions
peut-on changer de filiere ? | oui, un etudiant en situation d'echec avec une note globale superieure ou egale a 45% peut changer de filiere apres passation du concours d'admission. le changement de filiere n'est autorise qu'une seule fois. | changer de filiere echec 45% concours d'admission une seule fois | questions_specifiques | article 73, chapitre iv - deliberation
combien de fois peut-on redoubler ? | le redoublement n'est autorise qu'une seule fois par annee d'etudes. un etudiant qui a deja totalise le nombre de redoublement autorise est exclu. | redoublement une seule fois annee d'etudes exclu | questions_specifiques | article 73, chapitre iv - deliberation
que signifie ecue ? | ecue signifie element constitutif d'unite d'enseignement. c'est une partie d'une unite d'enseignement portant sur une meme matiere et pouvant donner lieu a plusieurs types d'activites comme les cours magistraux, travaux diriges, travaux pratiques, stages, etc. | ecue element constitutif unite d'enseignement matiere cours magistraux travaux diriges travaux pratiques stages | questions_specifiques | section 1, chapitre i - definitions
qu'est-ce que la capitalisation ? | la capitalisation est la possibilite de conserver indefiniment les unites d'enseignement validees en vue de l'obtention d'un diplome conferant un grade academique. les credits concernes sont dits 'capitalisables'. les ue validees ne sont pas reprises en cas de redoublement. | capitalisation conserver unites d'enseignement validees diplome grade academique capitalisables redoublement | questions_specifiques | section 1, chapitre i - definitions et article 75
qu'est-ce que le transfert de credit ? | le transfert de credit est la possibilite de faire valider par l'etablissement d'enseignement superieur les periodes d'etudes effectuees dans un autre etablissement ainsi que les credits qui leur sont attaches. cette definition reste valable en cas de changement de filiere. | transfert de credit valider etablissement periodes d'etudes autre etablissement credits changement de filiere | questions_specifiques | section 1, chapitre i - definitions
qu'est-ce que la mobilite ? | la mobilite est la possibilite pour un etudiant de changer de filiere et/ou d'institution. la mobilite est facilitee par le systeme de credits transferables. | mobilite changer de filiere institution credits transferables | questions_specifiques | section 1, chapitre i - definitions
que sont les passerelles ? | les passerelles sont la possibilite pour un etudiant de se reorienter et de poursuivre ses etudes dans un parcours ou une filiere de formation autre que celle initialement choisie. | passerelles reorienter poursuivre etudes parcours filiere de formation | questions_specifiques | section 1, chapitre i - definitions
combien d'heures represente un credit ? | un credit correspond a 25 heures au moins et a 30 heures au plus d'activites academiques (cours magistral, travaux pratiques, travaux de recherche, travaux diriges, stages encadres). | credit 25 heures 30 heures activites academiques cours magistral travaux pratiques travaux de recherche travaux diriges stages | questions_specifiques | section 1, chapitre i - definitions
qu'est-ce qu'un cursus ? | un cursus designe les etudes conduisant a un grade academique determine. un cursus peut s'etendre sur 1 ou plusieurs cycles d'etudes. | cursus etudes grade academique cycles d'etudes | questions_specifiques | section 1, chapitre i - definitions
quels sont les cycles d'etudes ? | il existe trois cycles d'etudes : 1er cycle (baccalaureat : 3 ans), 2eme cycle (mastere : 2 ans), 3eme cycle (doctorat : 3 ans). | cycles d'etudes 1er cycle baccalaureat 3 ans 2eme cycle mastere 2 ans 3eme cycle doctorat | questions_specifiques | section 1, chapitre i - definitions
qu'est-ce qu'un domaine de formation ? | un domaine de formation est une partie de l'offre de formation des etablissements d'enseignement superieur pouvant recouvrir plusieurs disciplines et leurs champs d'application et se divisant en branches, elles-memes subdivisees en specialites. | domaine de formation offre de formation etablissements disciplines branches specialites | questions_specifiques | section 1, chapitre i - definitions
qu'est-ce qu'une filiere de formation ? | une filiere de formation est une sequence ordonnee d'enseignement afin d'acquerir des connaissances et competences en vue d'exercer une activite ou un metier. c'est une sequence conduisant a l'obtention d'un titre professionnel. | filiere de formation sequence ordonnee enseignement connaissances competences activite metier titre professionnel | questions_specifiques | section 1, chapitre i - definitions
qu'est-ce qu'un parcours de formation ? | un parcours de formation est un ensemble d'unites d'enseignement reparties semestriellement et abordees dans un ordre logique et coherent conduisant a un grade determine, pour un cycle d'etudes, un domaine ou une branche donnee. | parcours de formation unites d'enseignement semestriellement ordre logique coherent grade determine cycle d'etudes domaine branche | questions_specifiques | section 1, chapitre i - definitions
qu'est-ce qu'un semestre ? | un semestre est une subdivision d'une annee academique. une annee academique comprend 2 semestres. il comprend l'ensemble des activites academiques devant se derouler au cours de la periode : cours magistraux, travaux pratiques, travaux diriges, travaux de recherche, travaux de terrain, travaux personnels, stages et evaluations. | semestre subdivision annee academique 2 semestres activites academiques cours magistraux travaux pratiques travaux diriges stages evaluations | questions_specifiques | section 1, chapitre i - definitions
